message_name,msgtype,msgcat,field_number,field_name,field_type,required,position
ResendRequest,2,admin,129,DeliverToSubID,STRING,N,20
ResendRequest,2,admin,145,DeliverToLocationID,STRING,N,21
ResendRequest,2,admin,43,PossDupFlag,BOOLEAN,N,22
ResendRequest,2,admin,97,PossResend,BOOLEAN,N,23
ResendRequest,2,admin,52,SendingTime,UTCTIMESTAMP,Y,24
ResendRequest,2,admin,122,OrigSendingTime,UTCTIMESTAMP,N,25
ResendRequest,2,admin,212,XmlDataLen,LENGTH,N,26
ResendRequest,2,admin,213,XmlData,DATA,N,27
ResendRequest,2,admin,347,MessageEncoding,STRING,N,28
ResendRequest,2,admin,369,LastMsgSeqNumProcessed,SEQNUM,N,29
ResendRequest,2,admin,627,NoHops,GROUP,N,30
ResendRequest,2,admin,628,HopCompID,STRING,N,31
ResendRequest,2,admin,629,HopSendingTime,UTCTIMESTAMP,N,32
ResendRequest,2,admin,630,HopRefID,SEQNUM,N,33
ResendRequest,2,admin,7,BeginSeqNo,SEQNUM,Y,34
ResendRequest,2,admin,16,EndSeqNo,SEQNUM,Y,35
ResendRequest,2,admin,93,SignatureLength,LENGTH,N,36
ResendRequest,2,admin,89,Signature,DATA,N,37
ResendRequest,2,admin,10,CheckSum,STRING,Y,38
SequenceReset,4,admin,8,BeginString,STRING,Y,1
SequenceReset,4,admin,9,BodyLength,LENGTH,Y,2
SequenceReset,4,admin,35,MsgType,STRING,Y,3
SequenceReset,4,admin,1128,ApplVerID,STRING,N,4
SequenceReset,4,admin,1156,ApplExtID,INT,N,5
SequenceReset,4,admin,1129,CstmApplVerID,STRING,N,6
SequenceReset,4,admin,49,SenderCompID,STRING,Y,7
SequenceReset,4,admin,56,TargetCompID,STRING,Y,8
SequenceReset,4,admin,115,OnBehalfOfCompID,STRING,N,9
SequenceReset,4,admin,128,DeliverToCompID,STRING,N,10
SequenceReset,4,admin,90,SecureDataLen,LENGTH,N,11
SequenceReset,4,admin,91,SecureData,DATA,N,12
SequenceReset,4,admin,34,MsgSeqNum,SEQNUM,Y,13
SequenceReset,4,admin,50,SenderSubID,STRING,N,14
SequenceReset,4,admin,142,SenderLocationID,STRING,N,15
SequenceReset,4,admin,57,TargetSubID,STRING,N,16
SequenceReset,4,admin,143,TargetLocationID,STRING,N,17
SequenceReset,4,admin,116,OnBehalfOfSubID,STRING,N,18
SequenceReset,4,admin,144,OnBehalfOfLocationID,STRING,N,19
SequenceReset,4,admin,129,DeliverToSubID,STRING,N,20
SequenceReset,4,admin,145,DeliverToLocationID,STRING,N,21
SequenceReset,4,admin,43,PossDupFlag,BOOLEAN,N,22
SequenceReset,4,admin,97,PossResend,BOOLEAN,N,23
SequenceReset,4,admin,52,SendingTime,UTCTIMESTAMP,Y,24
SequenceReset,4,admin,122,OrigSendingTime,UTCTIMESTAMP,N,25
SequenceReset,4,admin,212,XmlDataLen,LENGTH,N,26
SequenceReset,4,admin,213,XmlData,DATA,N,27
SequenceReset,4,admin,347,MessageEncoding,STRING,N,28
SequenceReset,4,admin,369,LastMsgSeqNumProcessed,SEQNUM,N,29
SequenceReset,4,admin,627,NoHops,GROUP,N,30
SequenceReset,4,admin,628,HopCompID,STRING,N,31
SequenceReset,4,admin,629,HopSendingTime,UTCTIMESTAMP,N,32
SequenceReset,4,admin,630,HopRefID,SEQNUM,N,33
SequenceReset,4,admin,123,GapFillFlag,BOOLEAN,N,34
SequenceReset,4,admin,36,NewSeqNo,SEQNUM,Y,35
SequenceReset,4,admin,93,SignatureLength,LENGTH,N,36
SequenceReset,4,admin,89,Signature,DATA,N,37
SequenceReset,4,admin,10,CheckSum,STRING,Y,38
TestRequest,1,admin,8,BeginString,STRING,Y,1
TestRequest,1,admin,9,BodyLength,LENGTH,Y,2
TestRequest,1,admin,35,MsgType,STRING,Y,3
TestRequest,1,admin,1128,ApplVerID,STRING,N,4
TestRequest,1,admin,1156,ApplExtID,INT,N,5
TestRequest,1,admin,1129,CstmApplVerID,STRING,N,6
TestRequest,1,admin,49,SenderCompID,STRING,Y,7
TestRequest,1,admin,56,TargetCompID,STRING,Y,8
TestRequest,1,admin,115,OnBehalfOfCompID,STRING,N,9
TestRequest,1,admin,128,DeliverToCompID,STRING,N,10
TestRequest,1,admin,90,SecureDataLen,LENGTH,N,11
TestRequest,1,admin,91,SecureData,DATA,N,12
TestRequest,1,admin,34,MsgSeqNum,SEQNUM,Y,13
TestRequest,1,admin,50,SenderSubID,STRING,N,14
TestRequest,1,admin,142,SenderLocationID,STRING,N,15
TestRequest,1,admin,57,TargetSubID,STRING,N,16
TestRequest,1,admin,143,TargetLocationID,STRING,N,17
TestRequest,1,admin,116,OnBehalfOfSubID,STRING,N,18
TestRequest,1,admin,144,OnBehalfOfLocationID,STRING,N,19
TestRequest,1,admin,129,DeliverToSubID,STRING,N,20
TestRequest,1,admin,145,DeliverToLocationID,STRING,N,21
TestRequest,1,admin,43,PossDupFlag,BOOLEAN,N,22
TestRequest,1,admin,97,PossResend,BOOLEAN,N,23
TestRequest,1,admin,52,SendingTime,UTCTIMESTAMP,Y,24
TestRequest,1,admin,122,OrigSendingTime,UTCTIMESTAMP,N,25
TestRequest,1,admin,212,XmlDataLen,LENGTH,N,26
TestRequest,1,admin,213,XmlData,DATA,N,27
TestRequest,1,admin,347,MessageEncoding,STRING,N,28
TestRequest,1,admin,369,LastMsgSeqNumProcessed,SEQNUM,N,29
TestRequest,1,admin,627,NoHops,GROUP,N,30
TestRequest,1,admin,628,HopCompID,STRING,N,31
TestRequest,1,admin,629,HopSendingTime,UTCTIMESTAMP,N,32
TestRequest,1,admin,630,HopRefID,SEQNUM,N,33
TestRequest,1,admin,112,TestReqID,STRING,Y,34
TestRequest,1,admin,93,SignatureLength,LENGTH,N,35
TestRequest,1,admin,89,Signature,DATA,N,36
TestRequest,1,admin,10,CheckSum,STRING,Y,37
XMLnonFIX,n,admin,8,BeginString,STRING,Y,1
XMLnonFIX,n,admin,9,BodyLength,LENGTH,Y,2
XMLnonFIX,n,admin,35,MsgType,STRING,Y,3
XMLnonFIX,n,admin,1128,ApplVerID,STRING,N,4
XMLnonFIX,n,admin,1156,ApplExtID,INT,N,5
XMLnonFIX,n,admin,1129,CstmApplVerID,STRING,N,6
XMLnonFIX,n,admin,49,SenderCompID,STRING,Y,7
XMLnonFIX,n,admin,56,TargetCompID,STRING,Y,8
XMLnonFIX,n,admin,115,OnBehalfOfCompID,STRING,N,9
XMLnonFIX,n,admin,128,DeliverToCompID,STRING,N,10
XMLnonFIX,n,admin,90,SecureDataLen,LENGTH,N,11
XMLnonFIX,n,admin,91,SecureData,DATA,N,12
XMLnonFIX,n,admin,34,MsgSeqNum,SEQNUM,Y,13
XMLnonFIX,n,admin,50,SenderSubID,STRING,N,14
XMLnonFIX,n,admin,142,SenderLocationID,STRING,N,15
XMLnonFIX,n,admin,57,TargetSubID,STRING,N,16
XMLnonFIX,n,admin,143,TargetLocationID,STRING,N,17
XMLnonFIX,n,admin,116,OnBehalfOfSubID,STRING,N,18
XMLnonFIX,n,admin,144,OnBehalfOfLocationID,STRING,N,19
XMLnonFIX,n,admin,129,DeliverToSubID,STRING,N,20
XMLnonFIX,n,admin,145,DeliverToLocationID,STRING,N,21
XMLnonFIX,n,admin,43,PossDupFlag,BOOLEAN,N,22
XMLnonFIX,n,admin,97,PossResend,BOOLEAN,N,23
XMLnonFIX,n,admin,52,SendingTime,UTCTIMESTAMP,Y,24
XMLnonFIX,n,admin,122,OrigSendingTime,UTCTIMESTAMP,N,25
XMLnonFIX,n,admin,212,XmlDataLen,LENGTH,N,26
XMLnonFIX,n,admin,213,XmlData,DATA,N,27
XMLnonFIX,n,admin,347,MessageEncoding,STRING,N,28
XMLnonFIX,n,admin,369,LastMsgSeqNumProcessed,SEQNUM,N,29
XMLnonFIX,n,admin,627,NoHops,GROUP,N,30
XMLnonFIX,n,admin,628,HopCompID,STRING,N,31
XMLnonFIX,n,admin,629,HopSendingTime,UTCTIMESTAMP,N,32
XMLnonFIX,n,admin,630,HopRefID,SEQNUM,N,33
XMLnonFIX,n,admin,93,SignatureLength,LENGTH,N,34
XMLnonFIX,n,admin,89,Signature,DATA,N,35
XMLnonFIX,n,admin,10,CheckSum,STRING,Y,36
